product_name,series,mae_before,mae_after,mape_before,mape_after,improved
Apples,STORE_030,37.14,37.14,3250.55,3250.55,False
Apples,STORE_031,49.29,49.29,4147.76,4147.76,False
Apples,STORE_032,8.48,8.48,5.56,5.56,False
Apples,STORE_033,7.86,7.86,2.22,2.22,False
Apples,STORE_034,10.43,10.43,6.67,6.67,False
Apples,STORE_035,9.41,9.41,4.44,4.44,False
Apples,STORE_036,2.68,2.68,2.22,2.22,False
Apples,STORE_037,7.98,7.98,2.22,2.22,False
Apples,STORE_038,49.58,49.58,4265.02,4265.02,False
Apples,STORE_039,3.91,3.91,3.33,3.33,False
Apples,STORE_040,18.46,18.46,6.67,6.67,False
Apples,STORE_041,3.07,3.07,3.33,3.33,False
Apples,STORE_042,12.11,12.11,3.33,3.33,False
Apples,STORE_043,5.71,5.71,2.22,2.22,False
Apples,STORE_044,6.54,6.54,4.44,4.44,False
Apples,STORE_045,2.96,2.96,2.22,2.22,False
Apples,STORE_046,2.91,2.91,1.11,1.11,False
Apples,STORE_047,7.74,7.74,2.22,2.22,False
Apples,STORE_048,5.0,5.0,1.11,1.11,False
Apples,STORE_049,14.31,14.31,6.67,6.67,False
Apples,STORE_050,4.42,4.42,4.44,4.44,False
Avocados,Total,261.41,261.41,7793.36,7793.36,False
Avocados,Midwest,78.97,78.97,1549.69,1549.69,False
Avocados,Northeast,139.02,139.02,7965.35,7965.35,False
Avocados,Southeast,116.73,116.73,4261.88,4261.88,False
Avocados,Southwest,132.01,132.01,10379.88,10379.88,False
Avocados,West,109.53,109.53,6390.7,6390.7,False
Avocados,STORE_001,9.04,9.04,4.44,4.44,False
Avocados,STORE_002,39.6,39.6,2375.99,2375.99,False
Avocados,STORE_003,9.91,9.91,4.44,4.44,False
Avocados,STORE_004,0.59,0.59,2.22,2.22,False
Avocados,STORE_005,40.66,40.66,3579.29,3579.29,False
Avocados,STORE_006,23.36,23.36,8.89,8.89,False
Avocados,STORE_007,12.78,12.78,549.74,549.74,False
Avocados,STORE_008,4.68,4.68,2.22,2.22,False
Avocados,STORE_009,8.11,8.11,3.33,3.33,False
Avocados,STORE_010,2.98,2.98,3.33,3.33,False
Avocados,STORE_011,7.11,7.11,3.33,3.33,False
Avocados,STORE_012,8.98,8.98,4.44,4.44,False
Avocados,STORE_013,65.43,65.43,5517.62,5517.62,False
Avocados,STORE_014,13.07,13.07,4.44,4.44,False
Avocados,STORE_015,5.92,5.92,2.22,2.22,False
Avocados,STORE_016,4.29,4.29,3.33,3.33,False
Avocados,STORE_017,89.36,89.36,8498.37,8498.37,False
Avocados,STORE_018,14.11,14.11,7.78,7.78,False
Avocados,STORE_019,3.96,3.96,3.33,3.33,False
Avocados,STORE_020,8.81,8.81,4.44,4.44,False
Avocados,STORE_021,14.19,14.19,4.44,4.44,False
Avocados,STORE_022,12.06,12.06,4.44,4.44,False
Avocados,STORE_023,85.55,85.55,7870.29,7870.29,False
Avocados,STORE_024,14.21,14.21,5.56,5.56,False
Avocados,STORE_025,9.97,9.97,4.44,4.44,False
Avocados,STORE_026,2.26,2.26,1.11,1.11,False
Avocados,STORE_027,7.4,7.4,3.33,3.33,False
Avocados,STORE_028,3.23,3.23,2.22,2.22,False
Avocados,STORE_029,4.84,4.84,3.33,3.33,False
Avocados,STORE_030,2.92,2.92,1.11,1.11,False
Avocados,STORE_031,6.84,6.84,5.56,5.56,False
Avocados,STORE_032,4.12,4.12,3.33,3.33,False
Avocados,STORE_033,6.58,6.58,2.22,2.22,False
Avocados,STORE_034,35.64,35.64,2507.59,2507.59,False
Avocados,STORE_035,9.84,9.84,6.67,6.67,False
Avocados,STORE_036,1.1,1.1,2.22,2.22,False
Avocados,STORE_037,15.69,15.69,7.78,7.78,False
Avocados,STORE_038,5.46,5.46,4.44,4.44,False
